Team,Conf,Longitude,Latitude,Logo
MILWAUKEE BUCKS,East,-87.5697,43.0174,https://github.com/KoxNoob/projet_perso_sport/blob/master/logo/MIL.png?raw=true
LOS ANGELES LAKERS,West,-118.485832,34.500334,https://github.com/KoxNoob/projet_perso_sport/blob/master/logo/LAL.png?raw=true
TORONTO RAPTORS,East,-79.3831843 ,43.653226 ,https://github.com/KoxNoob/projet_perso_sport/blob/master/logo/TR.png?raw=true
LOS ANGELES CLIPPERS,West,-118.4858,35.0033,https://github.com/KoxNoob/projet_perso_sport/blob/master/logo/LAC.png?raw=true
BOSTON CELTICS,East,-78.7391,42.6314,https://github.com/KoxNoob/projet_perso_sport/blob/master/logo/BOS.png?raw=true
DENVER NUGGETS,West,-92.3417,42.6731,https://github.com/KoxNoob/projet_perso_sport/blob/master/logo/DEN.png?raw=true
UTAH JAZZ,West,-111.8910474,40.7607793,https://github.com/KoxNoob/projet_perso_sport/blob/master/logo/UJ.png?raw=true
MIAMI HEAT,East,-80.130045 ,25.790654 ,https://github.com/KoxNoob/projet_perso_sport/blob/master/logo/MIA.png?raw=true
OKLAHOMA CITY THUNDER,West,-97.5164276 ,35.4675602 ,https://github.com/KoxNoob/projet_perso_sport/blob/master/logo/OKC.png?raw=true
HOUSTON ROCKETS,West,-95.369803 ,29.760427 ,https://github.com/KoxNoob/projet_perso_sport/blob/master/logo/HOU.png?raw=true
INDIANA PACERS,East,-86.158068 ,39.768403 ,https://github.com/KoxNoob/projet_perso_sport/blob/master/logo/IND.png?raw=true
PHILADELPHIA 76ERS,East,-75.1652215 ,39.9525839 ,https://github.com/KoxNoob/projet_perso_sport/blob/master/logo/76.png?raw=true
DALLAS MAVERICKS,West,-96.819 ,32.9503 ,https://github.com/KoxNoob/projet_perso_sport/blob/master/logo/DAL.png?raw=true
MEMPHIS GRIZZLIES,West,-89.9715 ,35.2017 ,https://github.com/KoxNoob/projet_perso_sport/blob/master/logo/MEM.png?raw=true
BROOKLYN NETS,East,-73.945 ,41.70 ,https://github.com/KoxNoob/projet_perso_sport/blob/master/logo/BKN.png?raw=true
ORLANDO MAGIC,East,-80.6862 ,28.3067 ,https://github.com/KoxNoob/Stats-Nba/blob/master/logo/ORL.png?raw=true
PORTLAND TRAIL BLAZERS,West,-122.3748 ,45.5806 ,https://github.com/KoxNoob/projet_perso_sport/blob/master/logo/PTB.png?raw=true
NEW ORLEANS PELICANS,West,-89.8826 ,30.033 ,https://github.com/KoxNoob/projet_perso_sport/blob/master/logo/NOP.png?raw=true
SACRAMENTO KINGS,West,-121.4943996,38.5815719 ,https://github.com/KoxNoob/projet_perso_sport/blob/master/logo/SK.png?raw=true
SAN ANTONIO SPURS,West,-98.4936282 ,29.4241219 ,https://github.com/KoxNoob/projet_perso_sport/blob/master/logo/SAS.png?raw=true
PHOENIX SUNS,West,-112.1872 ,33.2765 ,https://github.com/KoxNoob/projet_perso_sport/blob/master/logo/PS.png?raw=true
WASHINGTON WIZARDS,East,-77.0368707,38.9071923,https://github.com/KoxNoob/projet_perso_sport/blob/master/logo/WW.png?raw=true
CHARLOTTE HORNETS,East,-80.8042 ,35.26 ,https://github.com/KoxNoob/projet_perso_sport/blob/master/logo/CHA.png?raw=true
CHICAGO BULLS,East,-87.6297982 ,41.8781136 ,https://github.com/KoxNoob/projet_perso_sport/blob/master/logo/CHI.png?raw=true
NEW YORK KNICKS,East,-73.968565 ,40.779897 ,https://github.com/KoxNoob/projet_perso_sport/blob/master/logo/NYK.png?raw=true
DETROIT PISTONS,East,-83.1508 ,42.2399 ,https://github.com/KoxNoob/projet_perso_sport/blob/master/logo/DET.png?raw=true
ATLANTA HAWKS,East,-84.3879824 ,33.7489954 ,https://github.com/KoxNoob/projet_perso_sport/blob/master/logo/ATL.png?raw=true
MINNESOTA TIMBERWOLVES,West,-93.2650108 ,44.977753 ,https://github.com/KoxNoob/projet_perso_sport/blob/master/logo/MIN.png?raw=true
CLEVELAND CAVALIERS,East,-81.6728 ,41.6857 ,https://github.com/KoxNoob/projet_perso_sport/blob/master/logo/CLE.png?raw=true
GOLDEN STATE WARRIORS,West,-122.3929 ,37.6216 ,https://github.com/KoxNoob/projet_perso_sport/blob/master/logo/GSW.png?raw=true
